City	Population	Latitude	Longitude	Latitude.Point.From	Longitude.Point.From	To	From	Value	Time	Longitude.Point.To	Latitude.Point.To
Toronto	4551800	43.65	-79.38	43.64386969866	-79.3803817353514	560	374	540.758349467069	2016-11-26 00:00:32	-79.6854695510643	44.3823333220308
Brantford	88300	43.15	-80.26	43.1460584642411	-80.258109796972	970	771	2167.0111926971	2016-11-26 00:00:33	-122.306861693001	49.0683614113697
Toronto	4551800	43.65	-79.38	43.6554654930319	-79.3859788711383	534	307	4879.62348860456	2016-11-26 00:00:34	-80.2672231834879	43.1470553225395
Toronto	4551800	43.65	-79.38	43.6543075726087	-79.3791470863805	149	478	1713.1883959868	2016-11-26 00:00:35	-73.7906311494909	45.5249249664598
Corner brook	19000	48.96	-57.96	48.9631821442323	-57.9636211059737	506	739	979.063313931692	2016-11-26 00:00:36	-73.517466549961	45.5184636427577
Kelowna	116400	49.89	-119.46	49.8840500980677	-119.455922436197	578	408	4414.28436524002	2016-11-26 00:00:37	-72.7152966122202	45.4145870750048
Montreal	3256300	45.52	-73.57	45.5246619862877	-73.6837116664414	166	300	271.377578342799	2016-11-26 00:00:38	-123.12867889433	49.2838920380124
Vancouver	1836500	49.28	-123.13	49.277011966001	-123.137062424736	811	445	2714.34393669479	2016-11-26 00:00:39	-123.120437271636	49.2826586436375
Toronto	4551800	43.65	-79.38	43.6586630121375	-79.3783166810501	989	807	4874.51659291983	2016-11-26 00:00:40	-123.127598215544	49.2751178515384
Abbotsford	139900	49.06	-122.3	49.0630809848346	-122.314450747937	701	632	3570.52387874573	2016-11-26 00:00:41	-84.3541614757403	46.5355719965543
Vancouver	1836500	49.28	-123.13	49.277011966001	-123.137062424736	390	445	3263.44171776436	2016-11-26 00:00:42	-80.5009186865688	43.4685670414303
Toronto	4551800	43.65	-79.38	43.6420684451887	-79.3772992302669	688	125	1097.78219542932	2016-11-26 00:00:43	-71.2212980688834	46.8187797906604
Vancouver	1836500	49.28	-123.13	49.2823109010397	-123.138556131681	623	941	552.382393321022	2016-11-26 00:00:44	-73.4204649770364	45.5179086741719
Shawinigan	49000	46.56	-72.75	46.5663844408664	-72.7491385910623	627	869	1744.18558963807	2016-11-26 00:00:45	-114.052595358838	51.0567355715414
Toronto	4551800	43.65	-79.38	43.6502593747992	-79.3743516206742	788	202	2002.02110145474	2016-11-26 00:00:46	-52.6921029899011	47.5753995722881
Halifax	268900	44.67	-63.61	44.6698258897738	-63.6024620638574	823	810	1126.46030391334	2016-11-26 00:00:47	-77.7764494179848	48.1051159527909
Toronto	4551800	43.65	-79.38	43.655297766164	-79.3766215405247	21	832	2437.79007344274	2016-11-26 00:00:48	-63.5997009559768	44.6715992128125
Hamilton	645100	43.26	-79.85	43.2557558628195	-79.8603283032972	885	854	656.835127889644	2016-11-26 00:00:49	-79.377410251549	43.6573510848773
Kitchener	403800	43.46	-80.5	43.4531115182792	-80.506209960195	544	128	1917.26857414469	2016-11-26 00:00:50	-73.5316682602153	45.526073398287
Montreal	3256300	45.52	-73.57	45.5116093409131	-73.5790239810272	353	661	1179.35340785189	2016-11-26 00:00:51	-97.1763883063918	49.8733628164898
Montreal	3256300	45.52	-73.57	45.5203728358501	-73.829915242342	234	389	2238.3663352346	2016-11-26 00:00:52	-79.3816135183999	43.6529501105707
Montreal	3256300	45.52	-73.57	45.5208300854575	-73.5409152621059	972	372	4032.62144774199	2016-11-26 00:00:53	-75.6936887375613	45.4168084974826
Vancouver	1836500	49.28	-123.13	49.277011966001	-123.137062424736	143	445	947.991563146934	2016-11-26 00:00:54	-79.3845421228896	43.6494085600581
Montreal	3256300	45.52	-73.57	45.5134782945485	-73.7113354461962	427	877	3616.39085884672	2016-11-26 00:00:55	-73.6094431272507	45.5156937836394
Montreal	3256300	45.52	-73.57	45.5149932989243	-73.5775211020605	728	141	3069.91180100013	2016-11-26 00:00:56	-123.120919974484	49.2793994883353
Montreal	3256300	45.52	-73.57	45.5221118898219	-73.8306405657414	542	170	3585.89807230746	2016-11-26 00:00:57	-73.4941320140334	45.5241804069513
Montreal	3256300	45.52	-73.57	45.5214233125262	-73.4407611108816	560	244	4539.36202481855	2016-11-26 00:00:58	-79.6854695510643	44.3823333220308
Victoria	289400	48.43	-123.37	48.428966612834	-123.403165004158	869	960	2677.44382136734	2016-11-26 00:00:59	-72.7491385910623	46.5663844408664
Montreal	3256300	45.52	-73.57	45.519842201165	-73.5667561699048	26	546	4493.19598061265	2016-11-26 00:01:00	-123.138909977559	49.2852134326804
Toronto	4551800	43.65	-79.38	43.6438486458065	-79.3827923876275	178	905	4225.53760247538	2016-11-26 00:01:01	-79.2297547981594	43.1850031095737
Montreal	3256300	45.52	-73.57	45.5134782945485	-73.7113354461962	576	877	2333.88139584567	2016-11-26 00:01:02	-73.4611278607837	45.5173963888287
Montreal	3256300	45.52	-73.57	45.514376072364	-73.4724751513534	434	713	4197.54850812024	2016-11-26 00:01:03	-80.4920579562795	43.4624957329341
Calgary	938300	51.05	-114.06	51.0477325730341	-114.069718185973	534	203	301.300395990256	2016-11-26 00:01:04	-80.2672231834879	43.1470553225395
Abbotsford	139900	49.06	-122.3	49.0630809848346	-122.314450747937	720	632	2610.1034809486	2016-11-26 00:01:05	-66.3822445685607	50.2257266793524
Montreal	3256300	45.52	-73.57	45.519842201165	-73.5667561699048	412	546	1887.5708593172	2016-11-26 00:01:06	-82.4090756963248	42.9945994914387
Sarnia	81900	42.99	-82.4	42.9931051810447	-82.40665522267	823	708	2008.43245020369	2016-11-26 00:01:07	-77.7764494179848	48.1051159527909
Montreal	3256300	45.52	-73.57	45.5287306181523	-73.5747208274593	344	992	2119.84786514658	2016-11-26 00:01:08	-71.2253079998421	46.8224886236516
Toronto	4551800	43.65	-79.38	43.6511083157794	-79.3824465108981	144	903	2578.67834357312	2016-11-26 00:01:09	-73.690591347676	45.5209905352859
Winnipeg	637900	49.88	-97.17	49.8755433303913	-97.1643099899589	522	689	1215.82506773993	2016-11-26 00:01:10	-79.3851142446543	43.655106610939
Montreal	3256300	45.52	-73.57	45.5173981804862	-73.5795129638985	549	335	4888.00998767838	2016-11-26 00:01:11	-79.3827718109118	43.6549621006149
Kelowna	116400	49.89	-119.46	49.8840500980677	-119.455922436197	732	408	4352.59791522985	2016-11-26 00:01:12	-78.6792303566941	43.9070372788696
Vancouver	1836500	49.28	-123.13	49.274960963633	-123.118396966609	171	790	4750.7831192459	2016-11-26 00:01:13	-97.1771329178842	49.8821765869507
Ottawa	863000	45.42	-75.71	45.4217830615983	-75.6577774409349	126	584	3086.42953855451	2016-11-26 00:01:14	-123.953673240362	49.2082288386475
Shawinigan	49000	46.56	-72.75	46.5663844408664	-72.7491385910623	47	869	384.415181144141	2016-11-26 00:01:15	-73.664304555499	45.5257883556999
Sorel	37000	46.05	-73.14	46.042252946396	-73.1450693427791	128	748	4647.18922025058	2016-11-26 00:01:16	-80.506209960195	43.4531115182792
Vancouver	1836500	49.28	-123.13	49.274960963633	-123.118396966609	781	790	2862.13442528388	2016-11-26 00:01:17	-113.536037930013	53.5648263540933
Montreal	3256300	45.52	-73.57	45.5149932989243	-73.5775211020605	609	141	114.320337981917	2016-11-26 00:01:18	-73.67392129513	45.5265219130795
Toronto	4551800	43.65	-79.38	43.6547326554774	-79.3853123427857	762	199	474.956435814966	2016-11-26 00:01:19	-75.6988290518664	45.4116378177386
Thunder bay	102800	48.42	-89.28	48.4206111076194	-89.2545935451359	206	386	883.144153910689	2016-11-26 00:01:20	-114.06208401519	51.0462373145489
Toronto	4551800	43.65	-79.38	43.6554194749868	-79.386695409056	104	333	4876.09835297335	2016-11-26 00:01:21	-73.6031524043644	45.5146752386164
London	346900	42.97	-81.24	42.9662005173312	-81.2419699392737	78	476	3437.87528576795	2016-11-26 00:01:22	-114.065300323309	51.0438314270822
Alma	29100	48.55	-71.66	48.5444921658792	-71.6575631273781	367	123	664.809537190013	2016-11-26 00:01:23	-79.3738347298881	43.6550153768013
Quebec	643200	46.82	-71.23	46.8246427876085	-71.2359574287518	14	757	367.416921129916	2016-11-26 00:01:24	-113.832930167985	52.2691645919245
Grande prairie	39600	55.18	-118.8	55.177246295866	-118.769253007336	999	696	3970.27713945135	2016-11-26 00:01:25	-73.7482481549811	45.5138273233821
Montreal	3256300	45.52	-73.57	45.5255707040147	-73.5794469026478	761	444	1263.85475215502	2016-11-26 00:01:26	-83.0294505475158	42.305513485147
Toronto	4551800	43.65	-79.38	43.6535625519721	-79.3735485931107	401	263	395.46470483765	2016-11-26 00:01:27	-73.5467054687466	45.5134169410643
Winnipeg	637900	49.88	-97.17	49.8769498825414	-97.1729694461953	164	851	4463.07833201718	2016-11-26 00:01:28	-123.355323458974	48.4360537908551
Toronto	4551800	43.65	-79.38	43.6459914896579	-79.3811650562409	330	51	706.793132622261	2016-11-26 00:01:29	-79.8474785736041	43.2649738728267
Kanata	79300	45.34	-75.88	45.3343526390851	-75.8489395597086	877	872	4237.80973822577	2016-11-26 00:01:30	-73.7113354461962	45.5134782945485
Montreal	3256300	45.52	-73.57	45.5250411214079	-73.484224136717	126	803	2314.14997972315	2016-11-26 00:01:31	-123.953673240362	49.2082288386475
Sudbury	108300	46.49	-81.01	46.4879331850644	-81.0108854635042	774	541	4621.22560871067	2016-11-26 00:01:32	-123.372791980751	48.4322375506182
Toronto	4551800	43.65	-79.38	43.6537397212174	-79.385781910023	897	862	4000.40011610836	2016-11-26 00:01:33	-97.1659652918991	49.8831010722837
Montreal	3256300	45.52	-73.57	45.5185079612126	-73.6188286983344	588	629	1317.74098348105	2016-11-26 00:01:34	-119.274234843253	50.26997579823
Grande prairie	39600	55.18	-118.8	55.1770507959342	-118.802572900857	118	12	4715.19402629929	2016-11-26 00:01:35	-73.6208342035738	45.5247304900027
Sherbrooke	129000	45.4	-71.9	45.4001430604476	-71.9402796999501	557	385	2713.99468070595	2016-11-26 00:01:36	-79.735710910151	43.8784473526758
Woodstock	33900	43.13	-80.76	43.123537117366	-80.7572727637494	985	418	4321.83659001021	2016-11-26 00:01:37	-80.2558277416462	43.5663707520153
Joliette	34600	46.03	-73.45	46.0312935652872	-73.4469657923893	582	41	3910.83864965476	2016-11-26 00:01:38	-123.129251514845	49.2820765248303
North battleford	18100	52.79	-108.29	52.7954160592672	-108.286596566525	407	841	54.6686773188412	2016-11-26 00:01:39	-121.970235523963	49.1658576663749
Vancouver	1836500	49.28	-123.13	49.28505970513	-123.124036265385	851	61	2676.10487362836	2016-11-26 00:01:40	-97.1729694461953	49.8769498825414
Nanaimo	81200	49.21	-123.97	49.2174379491534	-123.966081248154	978	49	3435.00193698565	2016-11-26 00:01:41	-80.4995438471469	43.467435693273
Montreal	3256300	45.52	-73.57	45.5144323804827	-73.5337288650405	897	270	3855.95260061091	2016-11-26 00:01:42	-97.1659652918991	49.8831010722837
Quebec	643200	46.82	-71.23	46.8224029677075	-71.2317095968081	878	686	3057.81593730208	2016-11-26 00:01:43	-75.653795922109	45.4180196645844
Vancouver	1836500	49.28	-123.13	49.2823109010397	-123.138556131681	77	941	1896.01821677061	2016-11-26 00:01:44	-72.7193870317565	45.4023001610543
Vancouver	1836500	49.28	-123.13	49.277011966001	-123.137062424736	177	445	1597.46050359681	2016-11-26 00:01:45	-75.7246889142052	45.4268258990316
Campbell river	32400	49.99	-125.23	49.9887141777516	-125.229813034609	83	723	1078.15756527707	2016-11-26 00:01:46	-113.53889186292	53.5663284035187
Hamilton	645100	43.26	-79.85	43.254547569871	-79.8489246014822	577	381	3102.83535224153	2016-11-26 00:01:47	-75.7658742175999	45.4199508911189
Montreal	3256300	45.52	-73.57	45.5261739197256	-73.4146671003566	402	283	2816.16372950375	2016-11-26 00:01:48	-73.5411751126084	45.5128777705037
Montreal	3256300	45.52	-73.57	45.5150964901046	-73.5909890718231	580	717	3682.88761257427	2016-11-26 00:01:49	-110.686661054187	50.0375372102169
Montreal	3256300	45.52	-73.57	45.5201377322458	-73.442736256976	319	909	4999.8249254073	2016-11-26 00:01:50	-75.6906255741247	45.4154763117483
Montreal	3256300	45.52	-73.57	45.5221118898219	-73.8306405657414	894	170	3397.33705178369	2016-11-26 00:01:51	-79.3748840052182	43.6498953934874
Kingston	112700	44.23	-76.5	44.2372813552331	-76.5035653953598	814	62	4781.89680647338	2016-11-26 00:01:52	-97.166081040299	49.8738152826288
Truro	20900	45.36	-63.28	45.3559129170811	-63.2416032132794	333	165	2077.59635915281	2016-11-26 00:01:53	-79.386695409056	43.6554194749868
Saint catharines-niagara	312700	43.18	-79.24	43.1883260761898	-79.2430568825852	686	596	997.517604194582	2016-11-26 00:01:54	-71.2317095968081	46.8224029677075
Val-d'or	25300	48.11	-77.79	48.1051159527909	-77.7764494179848	506	823	4216.13712362014	2016-11-26 00:01:55	-73.517466549961	45.5184636427577
Montreal	3256300	45.52	-73.57	45.5267935648058	-73.5328319769721	143	857	4074.09625075525	2016-11-26 00:01:56	-79.3845421228896	43.6494085600581
Montreal	3256300	45.52	-73.57	45.525574700001	-73.7105300863068	732	186	138.757276069373	2016-11-26 00:01:57	-78.6792303566941	43.9070372788696
Kamloops	68500	50.68	-120.34	50.6813049949277	-120.331211026724	2	210	1208.05735564791	2016-11-26 00:01:58	-79.3840890291833	43.6430305101485
Hamilton	645100	43.26	-79.85	43.2662192258508	-79.8440334405708	276	547	2541.58108074917	2016-11-26 00:01:59	-79.3855914567466	43.6444449403305
Toronto	4551800	43.65	-79.38	43.6537397212174	-79.385781910023	583	862	3253.33590290975	2016-11-26 00:02:00	-78.8637510917147	43.8881846030181
Toronto	4551800	43.65	-79.38	43.6500291667449	-79.3756386527061	235	255	114.296966197435	2016-11-26 00:02:01	-79.374380317895	43.6443389315695
Montreal	3256300	45.52	-73.57	45.5201377322458	-73.442736256976	478	909	3539.56765803741	2016-11-26 00:02:02	-79.3791470863805	43.6543075726087
Bowmanville-newcastle	33900	43.9	-78.68	43.9028164633957	-78.6810170883825	314	4	1989.61191938724	2016-11-26 00:02:03	-79.2421859281148	43.1766497835967
Hamilton	645100	43.26	-79.85	43.2662192258508	-79.8440334405708	732	547	1813.60863738228	2016-11-26 00:02:04	-78.6792303566941	43.9070372788696
Red deer	71800	52.27	-113.83	52.2662463991155	-113.821488709341	429	725	4492.70484006265	2016-11-26 00:02:05	-123.377473113029	48.4254315752658
Val-d'or	25300	48.11	-77.79	48.1051159527909	-77.7764494179848	672	823	3199.238252535	2016-11-26 00:02:06	-123.134017881515	49.2731193620721
Toronto	4551800	43.65	-79.38	43.6455963505369	-79.3860962219761	684	415	3898.00874204375	2016-11-26 00:02:07	-63.6185779151477	44.6655295616311
Montreal	3256300	45.52	-73.57	45.519842201165	-73.5667561699048	144	546	2840.24955029599	2016-11-26 00:02:08	-73.690591347676	45.5209905352859
Toronto	4551800	43.65	-79.38	43.6535625519721	-79.3735485931107	55	263	2891.51481100125	2016-11-26 00:02:09	-73.5130817756762	45.5254860407612
Montreal	3256300	45.52	-73.57	45.518619161767	-73.3444654004912	241	447	4341.75019633258	2016-11-26 00:02:10	-75.6916167043127	44.6109045465523
Gatineau	235000	45.42	-75.71	45.419394576982	-75.6980027987148	419	443	3858.44308155356	2016-11-26 00:02:11	-73.4062530090814	45.5133187452627
Toronto	4551800	43.65	-79.38	43.6418093648087	-79.3773383367739	994	124	3367.55659122718	2016-11-26 00:02:12	-80.2658541819178	43.1478470352905
Montreal	3256300	45.52	-73.57	45.5202562963979	-73.6305116304648	175	731	356.74178279005	2016-11-26 00:02:13	-81.2541641633838	42.965981402098
Toronto	4551800	43.65	-79.38	43.6554194749868	-79.386695409056	378	333	3866.01596500259	2016-11-26 00:02:14	-79.4389556521376	46.3047092800134
Barrie	147200	44.38	-79.68	44.3885502132494	-79.6826107141655	756	216	1889.18138029985	2016-11-26 00:02:15	-73.637056296529	45.5203728593001
Toronto	4551800	43.65	-79.38	43.650278017744	-79.3861238004059	347	640	398.195395723451	2016-11-26 00:02:16	-72.563617848672	46.3523129870064
Montreal	3256300	45.52	-73.57	45.5138041087203	-73.7592747151652	277	856	882.189871929586	2016-11-26 00:02:17	-73.7778462087509	45.522893374823
Vancouver	1836500	49.28	-123.13	49.2749324734192	-123.1207452489	534	599	3075.92751668999	2016-11-26 00:02:18	-80.2672231834879	43.1470553225395
Chicoutimi-jonquiere	109800	48.43	-71.08	48.4309882539644	-71.0660652326531	783	219	4728.99131649174	2016-11-26 00:02:19	-81.3374675472738	48.4932686614686
Thunder bay	102800	48.42	-89.28	48.4206111076194	-89.2545935451359	469	386	1980.61023723567	2016-11-26 00:02:20	-79.3819059697594	43.6484314193308
Montreal	3256300	45.52	-73.57	45.5214233125262	-73.4407611108816	177	244	4032.85845946521	2016-11-26 00:02:21	-75.7246889142052	45.4268258990316
Abbotsford	139900	49.06	-122.3	49.0572355398425	-122.279730463979	56	224	363.97952621337	2016-11-26 00:02:22	-79.3786006622004	43.6492910849538
Edmonton	812400	53.57	-113.54	53.5686520036068	-113.543131993815	267	967	2116.02808414027	2016-11-26 00:02:23	-73.317693698461	45.5167862665766
Montreal	3256300	45.52	-73.57	45.515997675875	-73.6097550570484	5	764	3796.29488926148	2016-11-26 00:02:24	-123.120842628588	49.282783686157
Montreal	3256300	45.52	-73.57	45.5286830318449	-73.5446562205612	526	272	157.252713304479	2016-11-26 00:02:25	-79.3803133785673	43.6537742957039
Edmonton	812400	53.57	-113.54	53.5722717951612	-113.531675141205	658	352	3932.96604652423	2016-11-26 00:02:26	-123.143287608332	49.2779041314348
Alma	29100	48.55	-71.66	48.5444921658792	-71.6575631273781	231	123	157.859459996689	2016-11-26 00:02:27	-123.117847322029	49.2815285245565
Vancouver	1836500	49.28	-123.13	49.2820765248303	-123.129251514845	169	582	1239.66102399863	2016-11-26 00:02:28	-73.7824484843134	45.525183301288
Montreal	3256300	45.52	-73.57	45.5287306181523	-73.5747208274593	510	992	3176.89347582636	2016-11-26 00:02:29	-97.1710848260392	49.8837112223928
Charlottetown	39900	46.24	-63.14	46.2335272031658	-63.145172569421	652	233	4807.88494807202	2016-11-26 00:02:30	-73.5251013202936	45.5226729918707
Vancouver	1836500	49.28	-123.13	49.2744462282678	-123.120509715477	261	439	921.792555705179	2016-11-26 00:02:31	-105.537602721227	50.3921634151781
Montreal	3256300	45.52	-73.57	45.5212796657669	-73.3232075379689	893	881	2557.56990187801	2016-11-26 00:02:32	-79.3874976577361	43.6533408377449
Toronto	4551800	43.65	-79.38	43.6537397212174	-79.385781910023	435	862	4983.40044448851	2016-11-26 00:02:33	-71.1069634514908	48.4312611833553
Saint-jean-sur-richelieu	71300	45.31	-73.26	45.317278160831	-73.2707929203093	59	709	3932.1882763179	2016-11-26 00:02:34	-79.3891196793928	43.6515074621296
Toronto	4551800	43.65	-79.38	43.6455266010397	-79.3737349782255	304	867	4853.91691713594	2016-11-26 00:02:35	-79.3761077639337	43.6467213990386
Winnipeg	637900	49.88	-97.17	49.8738426710843	-97.1661445175213	951	738	2068.26858880231	2016-11-26 00:02:36	-80.094945235624	42.8139282454778
Vancouver	1836500	49.28	-123.13	49.2838920380124	-123.12867889433	292	166	1265.47235877952	2016-11-26 00:02:37	-97.1756498622904	49.8796017144065
London	346900	42.97	-81.24	42.9724625141282	-81.2381635965806	856	384	4697.77281408897	2016-11-26 00:02:38	-73.7592747151652	45.5138041087203
Montreal	3256300	45.52	-73.57	45.5265219130795	-73.67392129513	258	609	4526.26343907323	2016-11-26 00:02:39	-114.009179826101	51.2981030691276
Quebec	643200	46.82	-71.23	46.8224029677075	-71.2317095968081	222	686	437.790438346565	2016-11-26 00:02:40	-79.3751767805094	43.648162122654
Winnipeg	637900	49.88	-97.17	49.8819788141538	-97.1621126064383	180	896	4852.10891673341	2016-11-26 00:02:41	-63.6071857636136	44.6746755426615
Grande prairie	39600	55.18	-118.8	55.177246295866	-118.769253007336	482	696	2939.88127085613	2016-11-26 00:02:42	-79.3754238184416	43.6480681139641
Abbotsford	139900	49.06	-122.3	49.0683614113697	-122.306861693001	890	970	1128.25787293259	2016-11-26 00:02:43	-114.052014821407	51.0550617494137
Montreal	3256300	45.52	-73.57	45.515997675875	-73.6097550570484	502	764	1194.99252120731	2016-11-26 00:02:44	-79.3782509281811	43.6446612159683
Montreal	3256300	45.52	-73.57	45.5197903908007	-73.4060297115545	725	281	2081.57552445773	2016-11-26 00:02:45	-113.821488709341	52.2662463991155
Calgary	938300	51.05	-114.06	51.0480358701925	-114.048694200725	723	395	2956.06888065813	2016-11-26 00:02:46	-125.229813034609	49.9887141777516
Georgetown	32800	43.66	-79.93	43.6538728892487	-79.9335590195341	304	659	4432.83536275849	2016-11-26 00:02:47	-79.3761077639337	43.6467213990386
Shawinigan	49000	46.56	-72.75	46.5663844408664	-72.7491385910623	623	869	3799.22669689404	2016-11-26 00:02:48	-73.4204649770364	45.5179086741719
Toronto	4551800	43.65	-79.38	43.6474619913869	-79.3816827487237	633	519	757.910929457285	2016-11-26 00:02:49	-73.6392527579575	45.5134829361123
Toronto	4551800	43.65	-79.38	43.6418093648087	-79.3773383367739	638	124	4912.55487807794	2016-11-26 00:02:50	-123.390377175606	48.4335246192534
Kitchener	403800	43.46	-80.5	43.4685670414303	-80.5009186865688	798	390	376.545589324087	2016-11-26 00:02:51	-82.387251715671	42.9898532885666
Vancouver	1836500	49.28	-123.13	49.2757387419914	-123.142329177084	623	809	1383.38630998041	2016-11-26 00:02:52	-73.4204649770364	45.5179086741719
Toronto	4551800	43.65	-79.38	43.6414325505081	-79.3802116738391	222	133	3912.41560027702	2016-11-26 00:02:53	-79.3751767805094	43.648162122654
Edmonton	812400	53.57	-113.54	53.5683489997698	-113.535823091786	89	646	2624.69150018878	2016-11-26 00:02:54	-113.536058001419	53.5679486238416
Edmonton	812400	53.57	-113.54	53.5757486401023	-113.534811535545	491	981	4410.29038785491	2016-11-26 00:02:55	-80.2603101314649	43.5575839600406
Montreal	3256300	45.52	-73.57	45.5235778713112	-73.3816642183582	489	406	2192.46789386962	2016-11-26 00:02:56	-73.3366052816414	45.5162812719995
Hamilton	645100	43.26	-79.85	43.2620548936504	-79.8577463955421	458	397	933.810254908167	2016-11-26 00:02:57	-63.6073391533534	44.6739533160466
Saint catharines-niagara	312700	43.18	-79.24	43.184093998933	-79.2468337836232	957	523	1582.70693066297	2016-11-26 00:02:58	-89.3012881877737	48.4251170076445
Montreal	3256300	45.52	-73.57	45.5202562963979	-73.6305116304648	380	731	3839.02217397699	2016-11-26 00:02:59	-123.120030440524	49.2813568280537
Bowmanville-newcastle	33900	43.9	-78.68	43.9070372788696	-78.6792303566941	143	732	4920.22788943723	2016-11-26 00:03:00	-79.3845421228896	43.6494085600581
Montreal	3256300	45.52	-73.57	45.5134829361123	-73.6392527579575	423	633	941.07545807492	2016-11-26 00:03:01	-73.7270600273315	45.5146819662972
Edmonton	812400	53.57	-113.54	53.5686520036068	-113.543131993815	778	967	4313.03667807952	2016-11-26 00:03:02	-63.6191314550294	44.6718263353563
Toronto	4551800	43.65	-79.38	43.6477578746127	-79.3794581659652	508	442	2339.50138051296	2016-11-26 00:03:03	-73.25827986182	45.3097127297985
