City.From	Latitude.Point.From	Longitude.Point.From	To	From	Value	Time	Longitude.Point.To	Latitude.Point.To	City.To
Toronto	43.8487174940588	-79.1280648192238	704	344	3841.18907919619	2016-11-26 00:00:25	-68.0057317462436	48.288722100003	Rimouski
Red deer	51.9759274893313	-113.651186898133	883	382	4202.35577035928	2016-11-26 00:00:26	-80.6349956444195	43.3933549055374	Brantford
Prince george	54.1762839616358	-122.508668580728	974	502	3059.93169059511	2016-11-26 00:00:27	-124.127021667	49.1145422051692	Nanaimo
Toronto	43.5948498187318	-79.5852034071343	434	264	1078.94868617877	2016-11-26 00:00:28	-122.750113701416	53.655508877222	Prince george
Midland	44.772291371524	-79.3246697509199	128	855	4073.30419747159	2016-11-26 00:00:29	-122.654675806524	49.2431624104087	Vancouver
Vancouver	49.631655705317	-123.511449498186	405	75	1111.80442017503	2016-11-26 00:00:30	-80.4462349521262	43.7973501264997	Guelph
Quebec	46.597447748471	-71.5969931057394	604	426	4718.80268445238	2016-11-26 00:00:31	-60.7305804477719	45.5476192180716	Montreal
Vancouver	49.3704643806746	-123.584957971203	536	647	3191.05167159578	2016-11-26 00:00:32	-125.43759191549	50.2591885836145	Campbell river
Vancouver	49.4295582653202	-123.777774592886	944	806	2279.22335279873	2016-11-26 00:00:33	-79.3305414111666	43.4048549857758	Toronto
Calgary	50.6183820938148	-113.890371144353	487	400	1702.65727204969	2016-11-26 00:00:34	-79.1325640140867	43.3042981025116	Toronto
Barrie	44.698402028452	-79.6150268145725	157	657	4110.5977053754	2016-11-26 00:00:35	-124.940433668	49.9552879066242	Courtenay
Oshawa	44.0329416859985	-79.168146416706	253	814	1127.77209386695	2016-11-26 00:00:36	-79.237637675416	45.4667856053092	Montreal
Ottawa	45.1787763726322	-74.8220191538319	842	347	1530.23273245199	2016-11-26 00:00:37	-71.5296046256285	46.8705804857681	Quebec
Vancouver	49.1054289356223	-123.429940176222	990	305	486.487387842499	2016-11-26 00:00:38	-114.371267001793	50.7700454605858	Calgary
Edmonton	53.1833174836831	-113.521611196155	969	652	3655.57279518107	2016-11-26 00:00:39	-122.318627913971	48.3742802062413	Victoria
Georgina	44.5992798723137	-79.2437652302948	69	960	892.983306373935	2016-11-26 00:00:40	-72.8246773030415	46.8188053127501	Shawinigan
Toronto	43.4958207467849	-79.1968508749907	255	959	4427.02303772094	2016-11-26 00:00:41	-123.589276651476	49.0633705298411	Vancouver
Vancouver	49.3145423679115	-123.681582466088	398	722	3757.7571032336	2016-11-26 00:00:42	-113.866894134752	51.0124454922025	Calgary
Vancouver	49.38267860016	-122.381030616054	885	874	3781.08320791507	2016-11-26 00:00:43	-79.4774282928485	43.6298601762783	Toronto
Toronto	43.6200790438972	-79.6994326354654	570	630	3823.74639569316	2016-11-26 00:00:44	-97.5763244226924	49.7783853023886	Winnipeg
Spruce grove	53.2625893072628	-113.800005156518	472	16	3575.10776577983	2016-11-26 00:00:45	-79.2292338200807	44.0042853929756	Toronto
Kitchener	43.5657695049983	-80.4281052940851	141	987	4412.99775420921	2016-11-26 00:00:46	-78.1827256640963	45.6666939094541	Ottawa
Quebec	46.597447748471	-71.5969931057394	501	426	1212.67387374537	2016-11-26 00:00:47	-78.9279658326799	44.0810494777219	Bowmanville-newcastle
Calgary	51.2057329616447	-114.377734621899	865	934	341.318111901637	2016-11-26 00:00:48	-79.1354176845161	44.0064953217781	Toronto
Winnipeg	50.1408324314162	-97.1868782582491	49	871	1903.33889262984	2016-11-26 00:00:49	-82.1781353266232	43.1932242381332	Sarnia
Winnipeg	49.938905012915	-97.62912596174	293	326	4428.3961850917	2016-11-26 00:00:50	-123.048225065172	49.0715010782827	Vancouver
Vancouver	49.1721398358105	-123.651501305771	638	940	4991.18149229325	2016-11-26 00:00:51	-123.404195507818	48.9548602645789	Vancouver
Toronto	44.0223836597494	-79.217188523114	893	683	3486.48777805502	2016-11-26 00:00:52	-75.139329821637	45.5336210539995	Montreal
Montreal	45.7034763780845	-80.9593848445739	898	475	1552.14763497934	2016-11-26 00:00:53	-64.7183352123593	46.0007302493559	Moncton
Georgina	44.5992798723137	-79.2437652302948	187	960	4997.58679611841	2016-11-26 00:00:54	-78.942842223685	43.5270084927527	Toronto
Calgary	50.7702552508013	-113.744812650137	419	307	2273.38197178906	2016-11-26 00:00:55	-97.2881991997685	49.8424841109355	Winnipeg
Ottawa	44.9985423609398	-75.853499659563	203	697	736.893252667505	2016-11-26 00:00:56	-78.7314018011714	43.6051529922214	Oshawa
Chicoutimi-jonquiere	48.1631913779563	-72.058632072751	153	148	4815.41539373575	2016-11-26 00:00:57	-79.5844133945417	43.9369947256406	Toronto
Toronto	43.8255620251171	-79.4447223590049	371	121	972.090539860073	2016-11-26 00:00:58	-58.4422215337329	45.8129710209583	Beloeil
Saint catharines-niagara	43.1079783516622	-79.2717341181824	421	387	692.035761009902	2016-11-26 00:00:59	-78.9271755088728	43.6981788630502	Toronto
Vancouver	49.1171025961948	-123.418712025199	277	428	1632.77020235546	2016-11-26 00:01:00	-113.130456133668	53.6356726335851	Edmonton
Winnipeg	49.8756277371649	-97.3598467784754	414	661	230.052114336286	2016-11-26 00:01:01	-108.420877665621	52.7206971556318	North battleford
Toronto	43.8133051208571	-79.4079048893179	595	665	1417.4987450242	2016-11-26 00:01:02	-79.0406673264833	45.4793602045388	Montreal
Edmonton	53.8481866744122	-113.560245714293	733	425	1512.56512246327	2016-11-26 00:01:03	-71.487857764787	46.5130224972896	Quebec
Sarnia	43.0031792207479	-82.8979327287158	251	429	782.379747170489	2016-11-26 00:01:04	-113.175283314527	53.402719166523	Edmonton
Kelowna	50.1912037771988	-119.674361420052	78	299	4034.47918017628	2016-11-26 00:01:05	-79.1841821192292	43.5425961592756	Toronto
Montreal	45.7448380451668	-85.2218816154327	294	477	4981.26661981223	2016-11-26 00:01:06	-124.034195591645	49.1548224901721	White rock
Calgary	51.4385339899748	-114.224322362963	593	285	4412.88741043536	2016-11-26 00:01:07	-119.373568760401	49.8625047243038	Penticton
London	43.1008723313273	-81.8394224309545	605	321	2455.725695414	2016-11-26 00:01:08	-122.575863694951	49.0201710720949	Vancouver
Peterborough	44.5547757227258	-78.2540394945902	492	710	4163.99601626908	2016-11-26 00:01:09	-122.179105894626	48.6437906741796	Abbotsford
Toronto	44.0171864696867	-79.5012564237804	57	394	2292.4926105421	2016-11-26 00:01:10	-122.967161146402	48.8737094673234	Vancouver
Courtenay	49.7802560008379	-125.409746575619	618	950	1440.66545733949	2016-11-26 00:01:11	-79.3638796163074	43.3601207471549	Saint catharines-niagara
Montreal	45.2662953493358	-62.6933772691019	968	848	1154.87983948551	2016-11-26 00:01:12	-80.3427960199142	43.657479184449	Kitchener
Barrie	44.4957739895581	-79.539875477484	596	632	1225.71800561855	2016-11-26 00:01:13	-123.687966812271	49.5570063616965	Vancouver
Winnipeg	50.1235522230424	-96.8273809364694	873	915	74.8925236519426	2016-11-26 00:01:14	-10.037136831965	42.6753734047816	Chatham
Calgary	50.8548808139956	-114.544307339724	630	459	4654.5368683408	2016-11-26 00:01:15	-79.6994326354654	43.6200790438972	Toronto
Calgary	51.2057329616447	-114.377734621899	304	934	3772.77158867801	2016-11-26 00:01:16	-79.3629579639635	43.9834275922125	Toronto
Saint catharines-niagara	43.3227208454153	-79.1891731102414	989	452	2842.42158303969	2016-11-26 00:01:17	-124.723479045914	48.3204543879424	Victoria
Leamington	42.1038921152019	-82.0772182379967	831	85	4384.61670561228	2016-11-26 00:01:18	-71.2189240405781	47.2181654996138	Quebec
Montreal	45.2702918641245	-67.6988838148321	304	601	160.851274302695	2016-11-26 00:01:19	-79.3629579639635	43.9834275922125	Toronto
Winnipeg	49.7241914699755	-96.8270567845152	203	370	2028.2179986476	2016-11-26 00:01:20	-78.7314018011714	43.6051529922214	Oshawa
Sarnia	43.0031792207479	-82.8979327287158	29	429	3807.93084547622	2016-11-26 00:01:21	-113.929508381194	51.4445477403645	Calgary
Vancouver	49.631655705317	-123.511449498186	493	75	3976.60545203835	2016-11-26 00:01:22	-123.127717150536	48.8824383880811	Vancouver
Windsor	42.2607288707747	-86.8899231812156	64	550	4487.00318150222	2016-11-26 00:01:23	-123.208758830793	48.8749384734533	Victoria
Calgary	51.3545379498111	-114.199379268326	696	880	3324.86597482348	2016-11-26 00:01:24	-79.1467102011662	43.8433118828243	Toronto
Winnipeg	49.8756277371649	-97.3598467784754	917	661	947.622780152597	2016-11-26 00:01:25	-81.4668489700236	42.8680142559745	London
Hamilton	43.0016756642202	-79.6851527006837	693	27	4928.09806903824	2016-11-26 00:01:26	-81.6734697246736	43.0539798959318	London
Toronto	43.5213159741958	-79.5014184536669	955	758	4233.73598513426	2016-11-26 00:01:27	-72.0093946632668	45.8828496782668	Drummondville
Kitchener	43.4765818980659	-80.9728068111819	483	151	2191.81180699961	2016-11-26 00:01:28	-81.5259714936015	43.3014714618486	London
Kitchener	43.4082755826584	-80.9359004058346	632	861	2493.94537438639	2016-11-26 00:01:29	-79.539875477484	44.4957739895581	Barrie
Toronto	43.882235289741	-79.6080513865246	188	995	3656.93822994363	2016-11-26 00:01:30	-79.6267264527205	43.3770426120399	Toronto
Quebec	47.1551094855679	-71.3104272676223	126	146	3056.45312450361	2016-11-26 00:01:31	-81.8404217892556	42.6755559470422	Sarnia
Vancouver	49.2218553895233	-123.463490564322	7	662	411.422735464294	2016-11-26 00:01:32	-71.1011639773029	47.0370690514355	Quebec
Montreal	45.1438124768258	-75.2063892221893	776	994	2879.37386104604	2016-11-26 00:01:33	-79.5422521219476	43.6158507146214	Toronto
Toronto	43.7275824620527	-79.3168462095167	451	668	3695.85083466955	2016-11-26 00:01:34	-79.1627769997441	43.2798695446044	Toronto
Montreal	45.5233838688066	-62.4596727515427	16	271	3565.63934059814	2016-11-26 00:01:35	-113.800005156518	53.2625893072628	Spruce grove
Montreal	45.4227725647087	-81.2244346840513	741	549	4859.75845834473	2016-11-26 00:01:36	-79.1895828255354	42.9481050598961	Saint catharines-niagara
Georgina	44.5992798723137	-79.2437652302948	875	960	4682.5025551836	2016-11-26 00:01:37	-114.279156527635	50.705752678926	Calgary
Toronto	43.4191882180534	-79.2364698254173	919	851	4339.59630642785	2016-11-26 00:01:38	-66.4076817946376	45.4479851114774	Montreal
Calgary	51.2057329616447	-114.377734621899	811	934	3907.7198239509	2016-11-26 00:01:39	-52.93292662128	47.8727707873214	Saint john's
Peterborough	44.5582859940377	-78.0247722965145	959	702	2552.33030830277	2016-11-26 00:01:40	-79.1968508749907	43.4958207467849	Toronto
Toronto	43.6421590893115	-79.1921068632051	77	966	2768.94778172718	2016-11-26 00:01:41	-119.94769273366	49.3166549965927	Penticton
Toronto	44.0416074777227	-79.2968947242845	383	252	4743.26501813484	2016-11-26 00:01:42	-69.1807970940895	45.3791751409757	Montreal
Kitchener	43.2445241402324	-80.6224453569445	999	135	2750.67419607658	2016-11-26 00:01:43	-79.7796594805396	43.4588879668864	Hamilton
Montreal	45.6937522100996	-66.858664880295	414	460	216.601188480854	2016-11-26 00:01:44	-108.420877665621	52.7206971556318	North battleford
Vancouver	49.2380828588377	-123.555043336655	707	726	1966.07447633287	2016-11-26 00:01:45	-79.3374113817909	43.5984486106907	Toronto
Sarnia	43.012557316406	-82.643302407789	551	684	1558.19004860241	2016-11-26 00:01:46	-63.5277862330848	44.3344374342722	Halifax
Vancouver	49.5271398536383	-122.898511317074	836	698	4735.23889563512	2016-11-26 00:01:47	-78.4370670818863	44.3818738618091	Peterborough
Vancouver	49.2218553895233	-123.463490564322	770	662	833.263475797139	2016-11-26 00:01:48	-75.9497902330626	45.6570270316887	Montreal
Brantford	43.0371884624898	-80.4312372359701	839	221	1656.0808991082	2016-11-26 00:01:49	-73.3810593595181	45.1083506147052	Montreal
Regina	50.2178843336199	-104.358207016782	835	689	2166.78663040511	2016-11-26 00:01:50	-113.613161001001	53.4134647030131	Edmonton
Vancouver	49.0329481760878	-123.455108880301	750	582	337.319093430415	2016-11-26 00:01:51	-69.8197055099135	48.1856966921867	Chicoutimi-jonquiere
Calgary	50.7700454605858	-114.371267001793	1	990	4778.79828802543	2016-11-26 00:01:52	-111.572326348718	56.9418261090523	Wood buffalo
Hamilton	43.3591776170292	-79.6305688305014	376	996	1215.97087084083	2016-11-26 00:01:53	-76.8362937992371	41.9952168388811	Chatham
Toronto	43.2543203322195	-79.5514793768775	427	2	2441.65265412303	2016-11-26 00:01:54	-70.2037582884442	45.9372352104695	Montreal
Winnipeg	50.1345779577789	-97.033912154565	698	694	146.502676687669	2016-11-26 00:01:55	-122.898511317074	49.5271398536383	Vancouver
Guelph	43.3184093281454	-80.2120624096795	158	580	2476.04425746249	2016-11-26 00:01:56	-112.488053411553	49.4117906299561	Lethbridge
Toronto	43.5963412217534	-79.0745388019323	655	552	3566.70597057091	2016-11-26 00:01:57	-79.6064838214928	43.6950670556503	Toronto
Chicoutimi-jonquiere	48.1631913779563	-72.058632072751	120	148	3330.84226308856	2016-11-26 00:01:58	-68.3934461836933	45.4918808253186	New glasgow
Montreal	45.8814809025989	-66.2670099761234	319	372	2527.25760673638	2016-11-26 00:01:59	-80.548361514059	42.9245199074815	London
Edmonton	53.1833174836831	-113.521611196155	886	652	1694.3155503599	2016-11-26 00:02:00	-97.1233744658108	50.0876320036108	Winnipeg
Vancouver	49.0861826613183	-123.634089489241	94	753	1209.9331064499	2016-11-26 00:02:01	-79.6289931839307	45.118848201035	Midland
Edmonton	53.3263605118494	-113.202212450123	590	972	328.436867962591	2016-11-26 00:02:02	-119.06374864395	50.3639851688137	Vernon
Toronto	43.8133051208571	-79.4079048893179	670	665	1392.80221866211	2016-11-26 00:02:03	-79.8240250969134	44.496808182371	Barrie
Toronto	43.3998158473045	-79.1120622501155	237	20	68.6905678361654	2016-11-26 00:02:04	-97.1570892933725	49.671481963083	Winnipeg
Bathurst	47.3551424599478	-65.7612703813074	388	48	4396.36019577738	2016-11-26 00:02:05	-79.2634924192194	43.4154561604959	Toronto
Thunder bay	48.8129063149099	-89.4153907954123	631	850	1151.04343695566	2016-11-26 00:02:06	-72.8338774139782	45.2809111774537	Salaberry-de-valleyfield
Kelowna	49.870569983505	-119.0624502847	381	673	266.649688431062	2016-11-26 00:02:07	-122.673557614755	49.2441750690731	Vancouver
Toronto	43.7384319568477	-79.6527490499691	92	402	4079.48024482466	2016-11-26 00:02:08	-75.9453830527974	45.0556630751699	Ottawa
Windsor	42.6631258342573	-82.0685238570196	654	769	1632.92704421328	2016-11-26 00:02:09	-122.931736713205	48.8549154257279	Vancouver
Alma	48.2138424770106	-73.2046279375876	161	705	2893.31896892982	2016-11-26 00:02:10	-79.0747223073324	43.6584456851221	Toronto
Cobourg	43.6161860931389	-78.2462824724895	80	259	231.940449413378	2016-11-26 00:02:11	-113.825100947301	53.8329559342978	Edmonton
Toronto	44.0171864696867	-79.5012564237804	210	394	4440.3974056826	2016-11-26 00:02:12	-80.1111255006648	43.5942458479665	Hamilton
Thetford mines	46.2802263908476	-70.5701367036188	518	295	3876.03426618734	2016-11-26 00:02:13	-65.7854414936533	45.1994899551254	Montreal
Toronto	43.8740139642667	-78.9857096701375	121	53	1827.12573700119	2016-11-26 00:02:14	-79.4447223590049	43.8255620251171	Toronto
Montreal	45.8402337042823	-74.5580907390794	992	869	366.209411586169	2016-11-26 00:02:15	-73.1117348290629	46.143619527515	Trois-rivieres
Toronto	43.6298601762783	-79.4774282928485	96	885	4917.72896288894	2016-11-26 00:02:16	-79.7371075247681	43.2331368317302	Hamilton
Saint catharines-niagara	43.4362388841285	-79.2044330287008	932	355	3803.28980077757	2016-11-26 00:02:17	-79.4049880746864	43.9039913746199	Toronto
Oshawa	44.1356819314344	-78.5289230413737	508	114	910.403074487112	2016-11-26 00:02:18	-73.0865005242795	46.1677769366763	Sorel
Vancouver	49.38267860016	-122.381030616054	317	874	4134.70352685545	2016-11-26 00:02:19	-71.1646934189912	46.5179978471395	Quebec
Halifax	45.0610533133907	-63.7698455917804	167	635	218.669477885123	2016-11-26 00:02:20	-63.3844008018866	45.4141283968601	Montreal
Toronto	44.0223836597494	-79.217188523114	580	683	1826.16364329588	2016-11-26 00:02:21	-80.2120624096795	43.3184093281454	Guelph
Montreal	45.2540538602638	-74.1418150440616	981	523	309.42032833118	2016-11-26 00:02:22	-76.4637422795196	45.4915870623689	Ottawa
Winnipeg	49.8424841109355	-97.2881991997685	941	419	3889.24848458264	2016-11-26 00:02:23	-76.8102280246048	45.6413596789716	Montreal
Montreal	45.152004776682	-79.2789748627885	605	923	4777.98052335856	2016-11-26 00:02:24	-122.575863694951	49.0201710720949	Vancouver
Toronto	43.9381793653502	-79.1166266802792	825	514	3624.20129339444	2016-11-26 00:02:25	-114.556751760822	50.9207949238926	Calgary
Sorel	46.0459369262538	-72.9477467138608	855	156	2472.42233159486	2016-11-26 00:02:26	-79.3246697509199	44.772291371524	Midland
Oshawa	43.6694969845442	-78.8634841669871	560	734	786.932508321479	2016-11-26 00:02:27	-110.795742741762	50.388725348637	Medicine hat
Calgary	51.1791459397389	-114.285609328238	212	991	1141.51801200351	2016-11-26 00:02:28	-73.0523635536294	45.3454223844143	Sherbrooke
Montreal	45.304852916449	-76.9704926053609	634	877	2249.92822067579	2016-11-26 00:02:29	-79.2563727700757	43.8768218507569	Toronto
Sarnia	43.0031792207479	-82.8979327287158	269	429	2111.33269505808	2016-11-26 00:02:30	-77.0490813788919	45.3084140820952	Ottawa
Toronto	43.6582043347769	-79.4086942248457	71	379	866.510061081499	2016-11-26 00:02:31	-79.6653228823725	43.6290307944681	Toronto
Toronto	43.7047139184035	-79.6876619175097	802	760	2219.18039367301	2016-11-26 00:02:32	-123.328314406634	49.1498955444849	Vancouver
Quebec	46.3877790396892	-71.1689583620014	950	745	2894.63386720745	2016-11-26 00:02:33	-125.409746575619	49.7802560008379	Courtenay
Thetford mines	46.2802263908476	-70.5701367036188	784	295	4845.64784747781	2016-11-26 00:02:34	-80.9530584471276	42.7492123155403	Nanticoke
Montreal	45.4227725647087	-81.2244346840513	23	549	1113.00183947897	2016-11-26 00:02:35	-114.10904993093	51.0166449289221	Calgary
Sarnia	42.6755559470422	-81.8404217892556	287	126	4052.67811879748	2016-11-26 00:02:36	-66.1299742784322	45.3684229550817	Montreal
Nanaimo	49.1145422051692	-124.127021667	141	974	1122.59016621392	2016-11-26 00:02:37	-78.1827256640963	45.6666939094541	Ottawa
Abbotsford	49.3938880161591	-121.789790859917	933	636	3975.27382735861	2016-11-26 00:02:38	-63.784520945333	44.9701409971369	Halifax
Vancouver	49.0715010782827	-123.048225065172	314	293	3678.31243968103	2016-11-26 00:02:39	-66.3496193976898	44.9192386022539	Saint john
Calgary	51.3545379498111	-114.199379268326	766	880	1212.6079281792	2016-11-26 00:02:40	-63.9939824345869	44.9505818551055	Halifax
Calgary	51.1791459397389	-114.285609328238	422	991	4982.78410659404	2016-11-26 00:02:41	-80.1508984277281	43.4867527856867	Kitchener
Saint-jean-sur-richelieu	44.9579591748123	-72.6301911104823	382	719	1088.06085962569	2016-11-26 00:02:42	-113.651186898133	51.9759274893313	Red deer
North battleford	52.7206971556318	-108.420877665621	130	414	3871.63444794714	2016-11-26 00:02:43	-79.3942719830359	43.5335419212987	Toronto
Toronto	43.8487174940588	-79.1280648192238	117	344	2948.81447652588	2016-11-26 00:02:44	-121.279359006585	49.0211342133798	Abbotsford
Toronto	43.498337094821	-79.1805546469338	833	205	3395.04118626937	2016-11-26 00:02:45	-79.0112381378321	43.0281516267805	Saint catharines-niagara
Toronto	43.6484324655393	-79.8348772216245	878	24	233.183926541824	2016-11-26 00:02:46	-114.605682254221	51.0454421765104	Calgary
Montreal	45.3709760246829	-75.8734181346196	60	792	2854.29738385137	2016-11-26 00:02:47	-79.0676064193153	43.6578307680384	Toronto
Toronto	44.0042853929756	-79.2292338200807	811	472	3319.16877648327	2016-11-26 00:02:48	-52.93292662128	47.8727707873214	Saint john's
Montreal	45.3617614567768	-73.2636789432783	376	967	1157.88630682509	2016-11-26 00:02:49	-76.8362937992371	41.9952168388811	Chatham
Hamilton	42.8288860317969	-79.8043757249793	446	490	4909.61596290581	2016-11-26 00:02:50	-76.9101043912662	45.632423453246	Montreal
Ottawa	45.0488788184753	-76.9030450919062	438	546	1715.08709329646	2016-11-26 00:02:51	-52.9451046021245	47.4012607671857	Saint john's
Toronto	44.0042853929756	-79.2292338200807	881	472	323.855213343631	2016-11-26 00:02:52	-79.5805856016239	43.3288087470099	Toronto
Hamilton	43.3591776170292	-79.6305688305014	656	996	3567.46933553368	2016-11-26 00:02:53	-97.1824743069954	49.9810971074685	Winnipeg
Toronto	43.4958207467849	-79.1968508749907	497	959	4323.26360577717	2016-11-26 00:02:54	-71.3039081355541	46.839263161269	Quebec
Ottawa	45.1787763726322	-74.8220191538319	432	347	2687.9523952608	2016-11-26 00:02:55	-79.7555415994438	43.4030553373998	Toronto
Toronto	43.6203489095525	-79.7713615854559	27	95	2132.12233473314	2016-11-26 00:02:56	-79.6851527006837	43.0016756642202	Hamilton
Toronto	43.6906383882074	-79.0840473099069	2	931	709.231494681444	2016-11-26 00:02:57	-79.5514793768775	43.2543203322195	Toronto
Montreal	45.5619079443889	-86.6328657365531	643	533	221.337227802724	2016-11-26 00:02:58	-79.1190874107638	44.0853032270954	Georgina
Montreal	45.6453305554434	-75.8475125122776	341	482	421.220913832076	2016-11-26 00:02:59	-119.971428134428	49.9523788893776	Central okanagan
Toronto	43.9696745289669	-79.5842931764918	841	208	1347.94622296467	2016-11-26 00:03:00	-79.7575524423762	43.2382140480679	Hamilton
Oshawa	43.478377639558	-78.9212460374082	946	644	983.932088024449	2016-11-26 00:03:01	-79.2183440049202	43.7875332120416	Toronto
Terrace	54.7300293106684	-129.109692855616	17	137	1161.93874306045	2016-11-26 00:03:02	-123.114703576452	49.3737512132356	Vancouver
Vancouver	49.631655705317	-123.511449498186	579	75	1477.41378342034	2016-11-26 00:03:03	-73.5056141381322	45.7335138086703	Sherbrooke
Calgary	51.3634356379244	-114.511171530797	17	143	2867.98180972692	2016-11-26 00:03:04	-123.114703576452	49.3737512132356	Vancouver
Toronto	43.882235289741	-79.6080513865246	668	995	1872.18907531351	2016-11-26 00:03:05	-79.3168462095167	43.7275824620527	Toronto
Toronto	43.5579382066329	-79.2906247859809	705	548	3377.54290329758	2016-11-26 00:03:06	-73.2046279375876	48.2138424770106	Alma
Toronto	43.5929379738047	-79.7615493251906	491	300	1925.73576056166	2016-11-26 00:03:07	-78.6491034939436	43.7422129152051	Oshawa
Edmonton	53.1833174836831	-113.521611196155	897	652	2886.97346317349	2016-11-26 00:03:08	-61.9544106568548	45.6857607472167	Montreal
Wood buffalo	56.9808837997749	-111.405198864418	289	329	774.665032175835	2016-11-26 00:03:09	-71.6150558059058	46.9250547428154	Quebec
Calgary	50.7702552508013	-113.744812650137	276	307	3963.17117767176	2016-11-26 00:03:10	-75.2704307231204	45.3126926099079	Montreal
Calgary	51.1791459397389	-114.285609328238	909	991	1291.73862104071	2016-11-26 00:03:11	-82.2432853159288	45.6052704034026	Montreal
Alma	48.7203709431227	-73.2193899119434	179	469	1125.04934032913	2016-11-26 00:03:12	-124.686505147274	48.1858897483034	Victoria
Central okanagan	49.9523788893776	-119.971428134428	187	341	1762.23233909113	2016-11-26 00:03:13	-78.942842223685	43.5270084927527	Toronto
Georgina	44.5992798723137	-79.2437652302948	170	960	288.573362724856	2016-11-26 00:03:14	-72.4937305397206	45.8815888714904	Montreal
Vancouver	49.1721398358105	-123.651501305771	226	940	4560.45885611093	2016-11-26 00:03:15	-73.0500751605687	45.9023242355804	Montreal
Regina	50.619579578595	-104.754231763808	429	754	395.935584232211	2016-11-26 00:03:16	-82.8979327287158	43.0031792207479	Sarnia
New glasgow	45.4918808253186	-68.3934461836933	518	120	3693.01098248689	2016-11-26 00:03:17	-65.7854414936533	45.1994899551254	Montreal
Trois-rivieres	46.3168947656262	-73.0209977529431	451	876	103.404730383772	2016-11-26 00:03:18	-79.1627769997441	43.2798695446044	Toronto
Terrace	54.7300293106684	-129.109692855616	479	137	4869.57123903558	2016-11-26 00:03:19	-123.344773977339	49.5584842521259	Vancouver
Montreal	45.2662953493358	-62.6933772691019	241	848	2739.3478713464	2016-11-26 00:03:20	-123.064495127323	49.5595552890422	Vancouver
Abbotsford	49.3938880161591	-121.789790859917	832	636	1991.54043102171	2016-11-26 00:03:21	-113.991516817143	53.5919102826476	Edmonton
